,season,episode,episode_name,speaker,dialogue
0,1,1,Pilot Episode,SHELDON,photon direct plane two slit either slit observe go slits it’s unobserved however it’s observe it’s leave plane hit target go slit
1,1,1,Pilot Episode,LEONARD,agree what’s point
2,1,1,Pilot Episode,SHELDON,there’s point think it’s good idea tee-shirt
3,1,1,Pilot Episode,LEONARD,excuse
4,1,1,Pilot Episode,LEONARD,one across aegean eight nabakov twenty-six across mcm fourteen is… move finger… phylum make fourteen across port-au-prince see papa doc’s capital idea that’s port-au-prince haiti
5,1,1,Pilot Episode,LEONARD,yes um high iq sperm bank
6,1,1,Pilot Episode,SHELDON,think place
7,1,1,Pilot Episode,LEONARD,thank-you we’ll right back
8,1,1,Pilot Episode,SHELDON,leonard don’t think
9,1,1,Pilot Episode,LEONARD,kid you’re semi-pro
10,1,1,Pilot Episode,SHELDON,commit genetic fraud there’s guarantee sperm go generate high iq offspring think sister basic dna mix host fuddruckers
11,1,1,Pilot Episode,LEONARD,sheldon idea little extra money get fractional bandwidth apartment
12,1,1,Pilot Episode,SHELDON,know yearn fast downloads there’s poor woman go pin hope sperm wind toddler doesn’t know use integral differential solve area curve
13,1,1,Pilot Episode,LEONARD,i’m sure she’ll still love
14,1,1,Pilot Episode,SHELDON,wouldn’t
15,1,1,Pilot Episode,LEONARD,well want
16,1,1,Pilot Episode,SHELDON,want leave
17,1,1,Pilot Episode,LEONARD,okay
18,1,1,Pilot Episode,SHELDON,what’s protocol leave
19,1,1,Pilot Episode,LEONARD,don’t know i’ve never renege proffer sperm
20,1,1,Pilot Episode,SHELDON,let’s try walk
21,1,1,Pilot Episode,LEONARD,okay
22,1,1,Pilot Episode,SHELDON,bye-bye
23,1,1,Pilot Episode,LEONARD,see
24,1,1,Pilot Episode,SHELDON,still mad sperm bank
26,1,1,Pilot Episode,SHELDON,want hear interesting thing stair
27,1,1,Pilot Episode,LEONARD,really
28,1,1,Pilot Episode,SHELDON,height single step little two millimetre people trip
29,1,1,Pilot Episode,LEONARD,don’t care two millimetre doesn’t seem right
30,1,1,Pilot Episode,SHELDON,it’s true series experiment twelve father break clavicle
31,1,1,Pilot Episode,LEONARD,sent board school
32,1,1,Pilot Episode,SHELDON,result work laser
33,1,1,Pilot Episode,LEONARD,new neighbour
34,1,1,Pilot Episode,SHELDON,evidently
35,1,1,Pilot Episode,LEONARD,significant improvement old neighbour
36,1,1,Pilot Episode,SHELDON,two hundred pound transvestite skin condition yes
37,1,1,Pilot Episode,PENNY,oh hi
38,1,1,Pilot Episode,LEONARD,hi
39,1,1,Pilot Episode,SHELDON,hi
40,1,1,Pilot Episode,LEONARD,hi
41,1,1,Pilot Episode,SHELDON,hi
42,1,1,Pilot Episode,PENNY,hi
43,1,1,Pilot Episode,LEONARD,don’t mean interrupt live across hall
44,1,1,Pilot Episode,PENNY,oh that’s nice
45,1,1,Pilot Episode,LEONARD,oh… uh… no… don’t live together… um… live together separate heterosexual bedroom
46,1,1,Pilot Episode,PENNY,oh okay well guess i’m new neighbour penny
47,1,1,Pilot Episode,LEONARD,leonard sheldon
48,1,1,Pilot Episode,PENNY,hi
49,1,1,Pilot Episode,LEONARD,hi
50,1,1,Pilot Episode,SHELDON,hi
51,1,1,Pilot Episode,PENNY,hi
52,1,1,Pilot Episode,LEONARD,hi well uh oh welcome building
53,1,1,Pilot Episode,PENNY,thankyou maybe coffee sometime
54,1,1,Pilot Episode,LEONARD,oh great
55,1,1,Pilot Episode,PENNY,great
56,1,1,Pilot Episode,SHELDON,great
57,1,1,Pilot Episode,LEONARD,great well bye
58,1,1,Pilot Episode,PENNY,bye
59,1,1,Pilot Episode,SHELDON,bye
60,1,1,Pilot Episode,LEONARD,bye
61,1,1,Pilot Episode,LEONARD,invite lunch
62,1,1,Pilot Episode,SHELDON,we’re go start season two battlestar galactica
63,1,1,Pilot Episode,LEONARD,already watch season two dvd
64,1,1,Pilot Episode,SHELDON,commentary
65,1,1,Pilot Episode,LEONARD,think good neighbour invite make feel welcome
66,1,1,Pilot Episode,SHELDON,never invite louis-slash-louise
67,1,1,Pilot Episode,LEONARD,well wrong need widen circle
68,1,1,Pilot Episode,SHELDON,wide circle friend myspace
69,1,1,Pilot Episode,LEONARD,yes you’ve never meet one
70,1,1,Pilot Episode,SHELDON,that’s beauty
71,1,1,Pilot Episode,LEONARD,i’m go invite we’ll nice meal chat
72,1,1,Pilot Episode,SHELDON,chat don’t chat least offline
73,1,1,Pilot Episode,LEONARD,well it’s difficult listen say say something appropriate response
74,1,1,Pilot Episode,SHELDON,end
75,1,1,Pilot Episode,LEONARD,hi
76,1,1,Pilot Episode,PENNY,hi
77,1,1,Pilot Episode,SHELDON,hi
78,1,1,Pilot Episode,LEONARD,hi
79,1,1,Pilot Episode,PENNY,hi
80,1,1,Pilot Episode,LEONARD,anyway um bring home indian food um know move stressful find i’m undergoing stress good food company comfort effect also curry natural laxative don’t tell uh clean colon one less thing worry
81,1,1,Pilot Episode,SHELDON,leonard i’m expert believe context luncheon invitation might want skip reference bowel movement
82,1,1,Pilot Episode,PENNY,oh you’re invite eat
83,1,1,Pilot Episode,LEONARD,uh yes
84,1,1,Pilot Episode,PENNY,oh that’s nice i’d love
85,1,1,Pilot Episode,LEONARD,great
86,1,1,Pilot Episode,PENNY,guy fun around
87,1,1,Pilot Episode,SHELDON,well today try masturbate money
88,1,1,Pilot Episode,LEONARD,okay well make home
89,1,1,Pilot Episode,PENNY,okay thankyou
90,1,1,Pilot Episode,LEONARD,you’re welcome
91,1,1,Pilot Episode,PENNY,look like serious stuff leonard
92,1,1,Pilot Episode,SHELDON,actually that’s work
93,1,1,Pilot Episode,PENNY,wow
94,1,1,Pilot Episode,SHELDON,yeah well it’s quantum mechanic little string theory doodle around edge part that’s joke it’s spoof bourne-oppenheimer approximation
95,1,1,Pilot Episode,PENNY,you’re like one beautiful mind genius guy
96,1,1,Pilot Episode,SHELDON,yeah
97,1,1,Pilot Episode,PENNY,really impressive
98,1,1,Pilot Episode,LEONARD,board like board board
99,1,1,Pilot Episode,PENNY,holy smoke
100,1,1,Pilot Episode,SHELDON,holy smoke mean derivative restatement kind stuff find scribble wall men’s room mit sure
102,1,1,Pilot Episode,SHELDON,oh come hasn’t see differential “here sit break hearted?”
103,1,1,Pilot Episode,LEONARD,least didn’t invent twenty-six dimension make math come
104,1,1,Pilot Episode,SHELDON,didn’t invent they’re
105,1,1,Pilot Episode,LEONARD,universe
106,1,1,Pilot Episode,SHELDON,point
107,1,1,Pilot Episode,PENNY,uh guy mind start
108,1,1,Pilot Episode,SHELDON,um penny that’s sit
109,1,1,Pilot Episode,PENNY,sit next
110,1,1,Pilot Episode,SHELDON,sit
111,1,1,Pilot Episode,PENNY,what’s difference
112,1,1,Pilot Episode,SHELDON,what’s difference
113,1,1,Pilot Episode,LEONARD,go
114,1,1,Pilot Episode,SHELDON,winter seat close enough radiator remain warm yet close cause perspiration summer it’s directly path cross breeze create open window face television angle neither direct thus discourage conversation far wide create parallax distortion could go think i’ve make point
115,1,1,Pilot Episode,PENNY,want move
116,1,1,Pilot Episode,SHELDON,well
117,1,1,Pilot Episode,LEONARD,sit somewhere else
118,1,1,Pilot Episode,SHELDON,fine
119,1,1,Pilot Episode,LEONARD,sheldon sit
120,1,1,Pilot Episode,SHELDON,aaah
121,1,1,Pilot Episode,LEONARD,well nice don’t lot company
122,1,1,Pilot Episode,SHELDON,that’s true koothrapali wolowitz come time
123,1,1,Pilot Episode,LEONARD,yes but…
124,1,1,Pilot Episode,SHELDON,tuesday night play klingon boggle one morning
125,1,1,Pilot Episode,LEONARD,yes remember
126,1,1,Pilot Episode,SHELDON,resent say don’t company
127,1,1,Pilot Episode,LEONARD,i’m sorry
128,1,1,Pilot Episode,SHELDON,antisocial implication
129,1,1,Pilot Episode,LEONARD,say i’m sorry
130,1,1,Pilot Episode,PENNY,klingon boggle
131,1,1,Pilot Episode,LEONARD,yeah it’s like regular boggle klingon that’s probably enough tell
132,1,1,Pilot Episode,PENNY,um okay i’m sagittarius probably tell way need know
133,1,1,Pilot Episode,SHELDON,yes tell participate mass cultural delusion sun’s apparent position relative arbitrarily define constellation time birth somehow effect personality
134,1,1,Pilot Episode,PENNY,participate
135,1,1,Pilot Episode,LEONARD,think sheldon’s try say sagittarius wouldn’t first guess
136,1,1,Pilot Episode,PENNY,oh yeah lot people think i’m water sign okay let’s see else oh i’m vegetarian oh except fish occasional steak love steak
137,1,1,Pilot Episode,SHELDON,that’s interest leonard can’t process corn
138,1,1,Pilot Episode,LEONARD,wu-uh sort job
139,1,1,Pilot Episode,PENNY,oh yeah i’m waitress cheesecake factory
140,1,1,Pilot Episode,LEONARD,oh okay love cheesecake
141,1,1,Pilot Episode,SHELDON,you’re lactose intolerant
142,1,1,Pilot Episode,LEONARD,don’t eat think it’s good idea
143,1,1,Pilot Episode,PENNY,oh anyways i’m also write screenplay it’s sensitive girl come l.a lincoln nebraska actress wind waitress cheesecake factory
144,1,1,Pilot Episode,LEONARD,it’s base life
145,1,1,Pilot Episode,PENNY,i’m omaha
146,1,1,Pilot Episode,LEONARD,well movie would go see
147,1,1,Pilot Episode,PENNY,know right okay let’s see else um that’s that’s story penny
148,1,1,Pilot Episode,LEONARD,well sound wonderful
149,1,1,Pilot Episode,PENNY,fell love jerk
150,1,1,Pilot Episode,PENNY,oh god know four year live four year that’s like long high school
