,Episodes,Episode_Names,Characters,Lines,Season
0,101,Monica Gets A Roommate,MONICA,there's nothing tell he's guy work,1
1,101,Monica Gets A Roommate,JOEY,c'mon go guy there's gotta something wrong,1
2,101,Monica Gets A Roommate,CHANDLER,right joey nice hump hump hairpiece,1
3,101,Monica Gets A Roommate,PHOEBE,wait eat chalk,1
4,101,Monica Gets A Roommate,PHOEBE,cause want go go carl oh,1
5,101,Monica Gets A Roommate,MONICA,okay everybody relax even date two people go dinner sex,1
6,101,Monica Gets A Roommate,CHANDLER,sound like date,1
7,101,Monica Gets A Roommate,CHANDLER,alright i'm back high school i'm stand middle cafeteria realize totally naked,1
8,101,Monica Gets A Roommate,ALL,oh yeah dream,1
9,101,Monica Gets A Roommate,CHANDLER,look realize there's phone,1
10,101,Monica Gets A Roommate,JOEY,instead,1
11,101,Monica Gets A Roommate,CHANDLER,that's right,1
12,101,Monica Gets A Roommate,JOEY,never dream,1
14,101,Monica Gets A Roommate,CHANDLER,sudden phone start ring know everybody start look,1
15,101,Monica Gets A Roommate,MONICA,look,1
16,101,Monica Gets A Roommate,CHANDLER,finally figure i'd well answer turn mother very-very weird never call,1
17,101,Monica Gets A Roommate,ROSS,hi,1
18,101,Monica Gets A Roommate,JOEY,guy say hello wanna kill,1
19,101,Monica Gets A Roommate,MONICA,okay sweetie,1
20,101,Monica Gets A Roommate,ROSS,feel like someone reach throat grab small intestine pull mouth tie around neck,1
21,101,Monica Gets A Roommate,CHANDLER,cookie,1
22,101,Monica Gets A Roommate,MONICA,carol move stuff today,1
23,101,Monica Gets A Roommate,JOEY,ohh,1
24,101,Monica Gets A Roommate,MONICA,let get coffee,1
25,101,Monica Gets A Roommate,ROSS,thanks,1
26,101,Monica Gets A Roommate,PHOEBE,ooh oh,1
27,101,Monica Gets A Roommate,ROSS,stop cleansing aura leave aura alone okay,1
28,101,Monica Gets A Roommate,PHOEBE,fine murky,1
29,101,Monica Gets A Roommate,ROSS,i'll fine alright really everyone hope she'll happy,1
31,101,Monica Gets A Roommate,ROSS,hell leave,1
32,101,Monica Gets A Roommate,JOEY,never know lesbian,1
33,101,Monica Gets A Roommate,ROSS,okay everyone keep fixating know know,1
34,101,Monica Gets A Roommate,CHANDLER,sometimes wish lesbian say loud,1
35,101,Monica Gets A Roommate,ROSS,told mom dad last night seem take pretty well,1
36,101,Monica Gets A Roommate,MONICA,oh really hysterical phone call get woman sob,1
37,101,Monica Gets A Roommate,ROSS,sorry,1
38,101,Monica Gets A Roommate,JOEY,alright ross look feeling lot pain right angry hurt tell answer,1
39,101,Monica Gets A Roommate,JOEY,strip joint c'mon single hormone,1
40,101,Monica Gets A Roommate,ROSS,want single okay wanna marry,1
41,101,Monica Gets A Roommate,CHANDLER,want million dollar,1
42,101,Monica Gets A Roommate,MONICA,rachel,1
43,101,Monica Gets A Roommate,RACHEL,oh god monica hi thank god go build guy big hammer say might,1
44,101,Monica Gets A Roommate,WAITRESS,get coffee,1
45,101,Monica Gets A Roommate,MONICA,de-caff okay everybody rachel another lincoln high survivor everybody chandler phoebe joey remember brother ross,1
46,101,Monica Gets A Roommate,RACHEL,hi sure,1
47,101,Monica Gets A Roommate,ROSS,hi,1
48,101,Monica Gets A Roommate,MONICA,wanna tell wait four wet bridesmaid,1
49,101,Monica Gets A Roommate,RACHEL,oh god well start half hour wed room keep present look gravy boat really gorgeous lamauge gravy boat sudden sweet lo realize turn gravy boat barry get really freak that's hit,1
50,101,Monica Gets A Roommate,MONICA,invite wedding,1
51,101,Monica Gets A Roommate,RACHEL,ooh kinda hop issue,1
52,101,Monica Gets A Roommate,MONICA,i'm guess buy big pipe organ really happy,1
53,101,Monica Gets A Roommate,CHANDLER,tuna egg salad decide,1
54,101,Monica Gets A Roommate,ROSS,i'll whatever christine,1
55,101,Monica Gets A Roommate,RACHEL,daddy can't marry i'm sorry love well matter,1
56,101,Monica Gets A Roommate,PHOEBE,let go hair head fall,1
57,101,Monica Gets A Roommate,CHANDLER,ooh wear pant,1
58,101,Monica Gets A Roommate,JOEY,say push stair,1
59,101,Monica Gets A Roommate,RACHEL,c'mon daddy listen like like life everyone always tell shoe shoe shoe shoe today stop say wanna shoe wanna purse y'know hat i'm say want buy hat i'm say ha metaphor daddy,1
60,101,Monica Gets A Roommate,ROSS,see he'd trouble,1
61,101,Monica Gets A Roommate,RACHEL,look daddy life well maybe i'll stay monica,1
62,101,Monica Gets A Roommate,MONICA,well guess we've establish who's stay monica,1
63,101,Monica Gets A Roommate,RACHEL,well maybe that's decision well maybe need money wait wait say maybe,1
64,101,Monica Gets A Roommate,MONICA,breathe breathe that's try think nice calm thing,1
65,101,Monica Gets A Roommate,PHOEBE,raindrop roses rabbit kitten bluebell sleighbells something mitten la la la la...something noodle string,1
66,101,Monica Gets A Roommate,RACHEL,i'm well,1
67,101,Monica Gets A Roommate,PHOEBE,help,1
68,101,Monica Gets A Roommate,MONICA,okay look probably best y'know independence take control life whole hat thing,1
69,101,Monica Gets A Roommate,JOEY,hey need anything always come joey chandler live across hall he's away lot,1
70,101,Monica Gets A Roommate,MONICA,joey stop hit wedding day,1
71,101,Monica Gets A Roommate,JOEY,like there's rule something,1
72,101,Monica Gets A Roommate,CHANDLER,please horrible sound,1
73,101,Monica Gets A Roommate,PAUL,uh paul,1
74,101,Monica Gets A Roommate,MONICA,oh god,1
75,101,Monica Gets A Roommate,JOEY,who's paul,1
76,101,Monica Gets A Roommate,ROSS,paul wine guy paul,1
77,101,Monica Gets A Roommate,MONICA,maybe joey,1
78,101,Monica Gets A Roommate,ROSS,finally ask,1
79,101,Monica Gets A Roommate,MONICA,yes,1
80,101,Monica Gets A Roommate,CHANDLER,ooh dear diary moment,1
81,101,Monica Gets A Roommate,MONICA,rach wait cancel,1
82,101,Monica Gets A Roommate,RACHEL,please go that'd fine,1
83,101,Monica Gets A Roommate,MONICA,okay mean want stay,1
84,101,Monica Gets A Roommate,ROSS,that'd good,1
85,101,Monica Gets A Roommate,MONICA,really,1
86,101,Monica Gets A Roommate,ROSS,go paul wine guy,1
87,101,Monica Gets A Roommate,PHOEBE,mean sell drink complain lot,1
88,101,Monica Gets A Roommate,MONICA,hi come paul everybody everybody paul,1
89,101,Monica Gets A Roommate,ALL,hey paul hi wine guy hey,1
90,101,Monica Gets A Roommate,CHANDLER,i'm sorry catch name paul,1
91,101,Monica Gets A Roommate,MONICA,okay umm-umm i'll just--i'll right back gotta go ah go ah,1
92,101,Monica Gets A Roommate,ROSS,wander,1
93,101,Monica Gets A Roommate,MONICA,change okay sit two second,1
94,101,Monica Gets A Roommate,PHOEBE,ooh pull four eyelash can't good,1
95,101,Monica Gets A Roommate,JOEY,hey paul,1
96,101,Monica Gets A Roommate,PAUL,yeah,1
97,101,Monica Gets A Roommate,JOEY,here's little tip really like rub neck spot start get little red,1
98,101,Monica Gets A Roommate,MONICA,shut joey,1
99,101,Monica Gets A Roommate,ROSS,rachel what're uh what're tonight,1
100,101,Monica Gets A Roommate,RACHEL,well kinda suppose head aruba honeymoon nothing,1
101,101,Monica Gets A Roommate,ROSS,right even get honeymoon god although aruba time year talk big lizard anyway feel like alone tonight joey chandler come help put together new furniture,1
102,101,Monica Gets A Roommate,CHANDLER,yes we're excite,1
103,101,Monica Gets A Roommate,RACHEL,well actually thanks think i'm gonna hang tonight kinda long day,1
104,101,Monica Gets A Roommate,ROSS,okay sure,1
105,101,Monica Gets A Roommate,JOEY,hey pheebs wanna help,1
106,101,Monica Gets A Roommate,PHOEBE,oh wish could want,1
107,101,Monica Gets A Roommate,PHOEBE,love sweet summer shower love wondrous work art love oh love love...is like giant pigeon...crapping heart la-la-la-la-la thank la-la-la-la...ohhh,1
108,101,Monica Gets A Roommate,ROSS,i'm suppose attach brackety thing side thing use bunch little worm guy brackety thing see whim guy whatsoever cannot feel leg,1
109,101,Monica Gets A Roommate,JOEY,i'm think we've get bookcase,1
110,101,Monica Gets A Roommate,CHANDLER,beautiful thing,1
111,101,Monica Gets A Roommate,JOEY,what's,1
112,101,Monica Gets A Roommate,CHANDLER,would say l'-shaped bracket,1
113,101,Monica Gets A Roommate,JOEY,go,1
114,101,Monica Gets A Roommate,CHANDLER,idea,1
115,101,Monica Gets A Roommate,JOEY,do bookcase,1
116,101,Monica Gets A Roommate,CHANDLER,finish,1
117,101,Monica Gets A Roommate,ROSS,carol's favorite beer always drink know,1
118,101,Monica Gets A Roommate,JOEY,hey-hey-hey-hey gonna start stuff we're outta,1
119,101,Monica Gets A Roommate,CHANDLER,yes please spoil fun,1
120,101,Monica Gets A Roommate,JOEY,ross let ask question get furniture stereo good tv get,1
121,101,Monica Gets A Roommate,ROSS,guy,1
122,101,Monica Gets A Roommate,CHANDLER,oh god,1
123,101,Monica Gets A Roommate,JOEY,get screw,1
