,text,labels,predicted_label
0,How’s it going?,HOWARD,PENNY
1,"Yum. Well, enjoy your big evening.",PENNY,LEONARD
2,"You’re sweet. Good night, Dr. Koothrappali.",OTHERS,SHELDON
3,"But once you open the box, you’ve voided the warranty. The warranty is a sacred covenant we’ve entered into with the manufacturer. He offers to stand by his equipment, and we in return agree not to violate the integrity of the internal hardware. This little orange sticker is all that stands between us and anarchy.",SHELDON,OTHERS
4,"All right, so it sounds like we need a way to communicate that’s simple.",LEONARD,LEONARD
5,No.,PENNY,SHELDON
6,"He takes it everywhere, to bed, to the bathroom.",LEONARD,SHELDON
7,"All right, do it. Call him. Let’s find out what this loser’s ever accomplished.",LEONARD,OTHERS
8,Interesting. So you’re saying my insomnia is caused by a guilty conscience.,SHELDON,LEONARD
9,"Okay. Oh, how about this? Stuart’s dressed like a brother of the Night’s Watch, and they don’t have sex.",RAJ,SHELDON
10,Feel free to retain a lawyer.,SHELDON,SHELDON
11,"Oh, no. When?",LEONARD,PENNY
12,Oh. Penny says everyone’s there. Are you ready?,OTHERS,RAJ
13,Just put it back before he comes!,HOWARD,HOWARD
14,"Blah blah blah, a typical Taurus. So, seriously, are we going to see you Saturday?",PENNY,LEONARD
15,"Not the same Hulk. Ferrigno, Bana, Norton and Ruffalo.",HOWARD,SHELDON
16,Absolutely. But don’t be surprised if this movie sets you on the straight and narrow.,SHELDON,LEONARD
17,How thoughtful. Thank you.,SHELDON,HOWARD
18,Do not stop refreshing your screens.,SHELDON,LEONARD
19,No.,LEONARD,PENNY
20,"Well, I would prefer if people told me exactly what is on their mind.",SHELDON,HOWARD
21,We will.,LEONARD,SHELDON
22,This is ridiculous. You’re just making stuff up.,LEONARD,LEONARD
23,"Well, thirty, thirty five, hey, when did your mother go into menopause?",SHELDON,LEONARD
24,What’s up?,HOWARD,LEONARD
25,"Oh, I’ve heard of that place, isn’t that Pasadena’s favourite Irish watering hole.",SHELDON,OTHERS
26,"Well, now, but do you think that’s a good idea? Uh, you know Star Trek. Should a guy with no name and a red shirt really go on an expedition?",SHELDON,LEONARD
27,Thank you. They’re my mother’s.,SHELDON,OTHERS
28,Time for bed.,SHELDON,SHELDON
29,"For the record, I truly support the FBI in the mission which is expressed through their motto?",SHELDON,SHELDON
30,"Hi, Ames, what are you doing here?",OTHERS,OTHERS
31,"Okay, well since I’m obviously being ignored here, let’s go over the morning schedule, I use the bathroom from 7 to 7:20, plan your ablutions and bodily functions accordingly.",SHELDON,LEONARD
32,So I read a study that says a man with a dog is three times more likely to get a woman’s phone number.,RAJ,SHELDON
33,Where?,LEONARD,SHELDON
34,"Uh, what do you mean?",HOWARD,SHELDON
35,That’s a temporal anomaly. Corn dogs didn’t come into existence until the first half of the twentieth century.,SHELDON,LEONARD
36,Guess what? I got the part on CSI.,OTHERS,RAJ
37,"Penny, wait.",LEONARD,LEONARD
38,Will you forget dibs!,HOWARD,HOWARD
39,"Oh, my God. That’s Kripke’s robot?",LEONARD,HOWARD
40,Yes. All over it.,SHELDON,PENNY
41,"Mike, that’s the nicest thing you’ve ever said to me.",HOWARD,PENNY
42,"We just leave the house on Friday night, and we return in the wee hours emotionally wrung out from the work of convincing Leo to go back into rehab.",SHELDON,SHELDON
43,"Hey, guys.",RAJ,SHELDON
44,"You mean ’cause this room isn’t supposed to have dust in it, and we just let in a flying crap machine?",HOWARD,OTHERS
45,It’s a chocolate chip cookie.,PENNY,SHELDON
46,Hi.,RAJ,SHELDON
47,About five weeks.,OTHERS,HOWARD
48,"1,000 friggin’ Penny Blossoms.",HOWARD,SHELDON
49,"Absolutely not. Help me out here, I can’t afford another demerit.",PENNY,SHELDON
50,"Tired, but great. They’re both great.",HOWARD,SHELDON
51,"Well, what do you know? Here I was, waiting to be bored with biology, and instead you tickle my intellectual fancy. Which, unlike my body, is an okay place to tickle.",SHELDON,RAJ
52,"Well, I couldn’t have done it without my two favourite girls. Martha Stewart and Rachael Ray.",RAJ,PENNY
53,"Yes. It reminds me of us eating out and her saying quick, nobody’s looking, fill your pockets with ketchup.",HOWARD,SHELDON
54,I think I’ll eat my lunch at home.,SHELDON,SHELDON
55,I didn’t think they were going to. I just wanted to have a way to say no without hurting Leonard’s feelings.,HOWARD,RAJ
56,"Oh, no, of course. I understand. You’re afraid the world isn’t ready for your taboo love. Your secret’s safe with me.",SHELDON,LEONARD
57,"We all got the Christmas card, Cinnamon.",LEONARD,LEONARD
58,I know. Do you think I should start watching The Flash TV show?,SHELDON,SHELDON
59,"I’m just, um, really nervous.",OTHERS,HOWARD
60,"Ah, thank you!",PENNY,SHELDON
61,"I saw you speak at Stanford with Sheldon Cooper. Amy, can you believe it? It’s Dr. Leonard Hofstadter.",OTHERS,SHELDON
62,"Thank you. So, shall we get started?",HOWARD,SHELDON
63,"Uh, sure.",LEONARD,OTHERS
64,"Yeah, just back there.",LEONARD,LEONARD
65,We scored. I’m the wingman.,SHELDON,LEONARD
66,Did not.,LEONARD,PENNY
67,I don’t watch you 24 hours a day. I don’t know what you do.,SHELDON,SHELDON
68,That’s not nice.,OTHERS,PENNY
69,"Mm. If it makes you feel any better, a parasitoid wasp known as Oobius depressus has been rediscovered after 101 years of presumed extinction.",SHELDON,SHELDON
70,"Look, we admit it. The idea that you guys came up with was really good, and I’d love your help.",RAJ,HOWARD
71,Wait a minute– a child? You never see this girl. You just e-mail and text and Twitter. Now you’re considering having a baby?,LEONARD,HOWARD
72,"Fine, no more drowning talk. I’ll change the subject. Oh. Who do you think would win in a fight, you or a shark?",SHELDON,SHELDON
73,I’m currently single.,SHELDON,LEONARD
74,"So, if I move my horsey here, isn’t that checkmate and I win?",PENNY,SHELDON
75,"I think you have a great capacity for devotion. You’ll be lonely when she passes on, won’t you? I understand what that is.",PENNY,SHELDON
76,"Come on, trust me, he’s hitting on you.",LEONARD,SHELDON
77,No.,PENNY,HOWARD
